"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";
"1";"";"LAUNCHPAD_BOOSTER_PACK";"LAUNCHPAD_BOOSTER_PACK";"U$1";"";"";
"1";"";"MX25L25635E";"SO-16LD";"U$4";"";"MX25L25635E";
"7";"0.1u";"C-EUC0603";"C0603";"C1, C3, C4, C5, C7, C8, C9";"CAPACITOR, European symbol";"VJ0603V104ZXXCW1BC";
"2";"101-00405-75";"101-00405-75";"101-00405-75";"U$2, U$3";"";"101-00405-75";
"16";"10K";"R-US_R0603";"R0603";"R1, R2, R3, R4, R5, R6, R8, R9, R12, R13, R14, R15, R16, R17, R19, R20";"RESISTOR, American symbol";"WR06X1002FTL";
"2";"10u";"C-EUC0603";"C0603";"C2, C6";"CAPACITOR, European symbol";"LMK107BBJ106MALT";
"5";"33";"R-US_R0603";"R0603";"R18, R21, R23, R24, R25";"RESISTOR, American symbol";"CR0402-JW-330GLF";
